4,2,0.0033987,2
15,2,0.0013299,19
100,2,0.1313242,2654
200,2,2.035817,36513
4,2,0.0035585,2
15,2,0.0037769,19
100,2,0.1679632,2654
200,2,1.5542336,36513
4,1,0.0021047,2
15,1,0.0046935,19
100,1,0.2108996,2654
200,1,2.421049,36513
4,3,0.004493,2
15,3,0.0038911,19
100,3,0.267837,2654
200,3,1.8238794,36513
4,4,0.0040307,2
15,4,0.0046508,19
100,4,0.200847,2654
200,4,1.2927124,36513
4,5,0.0042397,2
15,5,0.0030741,19
100,5,0.196888,2654
200,5,1.3625816,36513
4,6,0.0052033,2
15,6,0.0092799,19
100,6,0.2076759,2654
200,6,1.4050738,36513
