4,1,0.0245767,4
4,4,0.0020555,4
4,6,0.0016803,4
4,12,0.0021958,4
15,1,0.0072811,45
15,4,0.0299714,45
15,6,0.0078827,45
15,12,0.0175921,45
100,1,0.2410083,11463
100,4,0.0857272,11463
100,6,0.0905824,11463
100,12,0.0830814,11463
200,1,2.1086086,183496
200,4,0.5428273,183496
200,6,0.3671697,183496
200,12,0.2780207,183496
